Frame,Visibility,X,Y
398,1,960,540
399,1,960,540
400,1,960,540
401,1,960,540
402,1,960,540
403,1,960,540
404,1,960,540
405,1,960,540
406,1,960,540
407,1,960,540
408,1,960,540
409,1,960,540
410,1,960,540
411,1,960,540
412,1,960,540
413,1,960,540
414,1,960,540
415,1,960,540
416,1,960,540
417,1,960,540
418,1,960,540
419,1,960,540
420,1,960,540
421,1,960,540
422,1,960,540
423,1,960,540
424,1,960,540
425,1,960,540
426,1,960,540
427,1,960,540
428,1,960,540
429,1,960,540
430,1,960,540
431,1,960,540
432,1,960,540
433,1,960,540
434,1,960,540
435,1,960,540
436,1,960,540
437,1,960,540
438,1,960,540
439,1,960,540
440,1,960,540
441,1,960,540
442,1,960,540
443,1,960,540
444,1,960,540
445,1,960,540
446,1,960,540
447,1,960,540
448,1,960,540
449,1,960,540
450,1,960,540
451,1,960,540
452,1,960,540
453,1,960,540
454,1,960,540
455,1,960,540
456,1,960,540
457,1,960,540
458,1,960,540
459,1,960,540
460,1,960,540
461,1,960,540
462,1,960,540
463,1,960,540
464,1,960,540
465,1,960,540
466,1,960,540
467,1,960,540
468,1,960,540
469,1,960,540
470,1,960,540
471,1,960,540
472,1,960,540
473,1,960,540
474,1,960,540
475,1,960,540
476,1,960,540
477,1,960,540
478,1,960,540
479,1,960,540
480,1,960,540
481,1,960,540
482,1,960,540
483,1,960,540
484,1,960,540
485,1,960,540
486,1,960,540
487,1,960,540
488,1,960,540
489,1,960,540
490,1,960,540
491,1,960,540
492,1,960,540
493,1,960,540
494,1,960,540
495,1,960,540
496,1,960,540
497,1,960,540
498,1,960,540
499,1,960,540
500,1,960,540
501,1,960,540
502,1,960,540
503,1,960,540
504,1,960,540
505,1,960,540
506,1,960,540
507,1,960,540
508,1,960,540
509,1,960,540
510,1,960,540
511,1,960,540
512,1,960,540
513,1,960,540
514,1,960,540
515,1,960,540
516,1,960,540
517,1,960,540
518,1,960,540
519,1,960,540
520,1,960,540
521,1,960,540
522,1,960,540
523,1,960,540
524,1,960,540
525,1,960,540
526,1,960,540
527,1,960,540
528,1,960,540
529,1,960,540
530,1,960,540
531,1,960,540
532,1,960,540
533,1,960,540
534,1,960,540
535,1,960,540
536,1,960,540
537,1,960,540
538,1,960,540
539,1,960,540
540,1,960,540
541,1,960,540
542,1,960,540
543,1,960,540
544,1,960,540
545,1,960,540
546,1,960,540
547,1,960,540
548,1,960,540
549,1,960,540
550,1,960,540
551,1,960,540
552,1,960,540
553,1,960,540
554,1,960,540
555,1,960,540
556,1,960,540
557,1,960,540
558,1,960,540
559,1,960,540
560,1,960,540
561,1,960,540
562,1,960,540
563,1,960,540
564,1,960,540
565,1,960,540
566,1,960,540
567,1,960,540
568,1,960,540
569,1,960,540
570,1,960,540
571,1,960,540
572,1,960,540
573,1,960,540
574,1,960,540
575,1,960,540
576,1,960,540
577,1,960,540
578,1,960,540
579,1,960,540
580,1,960,540
581,1,960,540
582,1,960,540
583,1,960,540
584,1,960,540
585,1,960,540
586,1,960,540
587,1,960,540
588,1,960,540
589,1,960,540
590,1,960,540
591,1,960,540
592,1,960,540
593,1,960,540
594,1,960,540
595,1,960,540
596,1,960,540
597,1,960,540
598,1,960,540
599,1,960,540
600,1,960,540
601,1,960,540
602,1,960,540
603,1,960,540
604,1,960,540
605,1,960,540
606,1,960,540
607,1,960,540
608,1,960,540
609,1,960,540
610,1,960,540
611,1,960,540
612,1,960,540
613,1,960,540
614,1,960,540
615,1,960,540
616,1,960,540
617,1,960,540
618,1,960,540
619,1,960,540
620,1,960,540
621,1,960,540
622,1,960,540
623,1,960,540
624,1,960,540
625,1,960,540
626,1,960,540
627,1,960,540
628,1,960,540
629,1,960,540
630,1,960,540
631,1,960,540
632,1,960,540
633,1,960,540
634,1,960,540
635,1,960,540
636,1,960,540
637,1,960,540
638,1,960,540
639,1,960,540
640,1,960,540
641,1,960,540
642,1,960,540
643,1,960,540
644,1,960,540
645,1,960,540
646,1,960,540
647,1,960,540
648,1,960,540
649,1,960,540
650,1,960,540
651,1,960,540
652,1,960,540
653,1,960,540
654,1,960,540
655,1,960,540
656,1,960,540
657,1,960,540
658,1,960,540
659,1,960,540
660,1,960,540
661,1,960,540
662,1,960,540
663,1,960,540
664,1,960,540
665,1,960,540
666,1,960,540
667,1,960,540
668,1,960,540
669,1,960,540
670,1,960,540
671,1,960,540
672,1,960,540
673,1,960,540
674,1,960,540
675,1,960,540
676,1,960,540
677,1,960,540
678,1,960,540
679,1,960,540
680,1,960,540
681,1,960,540
682,1,960,540
683,1,960,540
684,1,960,540
685,1,960,540
686,1,960,540
687,1,960,540
688,1,960,540
689,1,960,540
690,1,960,540
691,1,960,540
692,1,960,540
693,1,960,540
694,1,960,540
695,1,960,540
696,1,960,540
697,1,960,540
698,1,960,540
699,1,960,540
700,1,960,540
701,1,960,540
702,1,960,540
703,1,960,540
704,1,960,540
705,1,960,540
706,1,960,540
707,1,960,540
708,1,960,540
709,1,960,540
710,1,960,540
711,1,960,540
712,1,960,540
713,1,960,540
714,1,960,540
715,1,960,540
716,1,960,540
717,1,960,540
718,1,960,540
719,1,960,540
720,1,960,540
721,1,960,540
722,1,960,540
723,1,960,540
724,1,960,540
725,1,960,540
726,1,960,540
727,1,960,540
728,1,960,540
729,1,960,540
730,1,960,540
731,1,960,540
732,1,960,540
733,1,960,540
734,1,960,540
735,1,960,540
736,1,960,540
737,1,960,540
738,1,960,540
739,1,960,540
740,1,960,540
741,1,960,540
742,1,960,540
743,1,960,540
744,1,960,540
745,1,960,540
746,1,960,540
747,1,960,540
748,1,960,540
749,1,960,540
750,1,960,540
751,1,960,540
752,1,960,540
753,1,960,540
754,1,960,540
755,1,960,540
756,1,960,540
757,1,960,540
758,1,960,540
759,1,960,540
760,1,960,540
761,1,960,540
762,1,960,540
763,1,960,540
764,1,960,540
765,1,960,540
766,1,960,540
767,1,960,540
768,1,960,540
769,1,960,540
770,1,960,540
771,1,960,540
772,1,960,540
773,1,960,540
774,1,960,540
775,1,960,540
776,1,960,540
777,1,960,540
778,1,960,540
779,1,960,540
780,1,960,540
781,1,960,540
782,1,960,540
783,1,960,540
784,1,960,540
785,1,960,540
786,1,960,540
787,1,960,540
788,1,960,540
789,1,960,540
790,1,960,540
791,1,960,540
792,1,960,540
793,1,960,540
794,1,960,540
795,1,960,540
796,1,960,540
797,1,960,540
798,1,960,540
799,1,960,540
800,1,960,540
801,1,960,540
802,1,960,540
803,1,960,540
804,1,960,540
805,1,960,540
806,1,960,540
807,1,960,540
808,1,960,540
809,1,960,540
810,1,960,540
811,1,960,540
812,1,960,540
813,1,960,540
814,1,960,540
815,1,960,540
816,1,960,540
817,1,960,540
818,1,960,540
819,1,960,540
820,1,960,540
821,1,960,540
822,1,960,540
823,1,960,540
824,1,960,540
825,1,960,540
826,1,960,540
827,1,960,540
828,1,960,540
829,1,960,540
830,1,960,540
831,1,960,540
832,1,960,540
833,1,960,540
834,1,960,540
835,1,960,540
836,1,960,540
837,1,960,540
838,1,960,540
839,1,960,540
840,1,960,540
841,1,960,540
842,1,960,540
843,1,960,540
844,1,960,540
845,1,960,540
846,1,960,540
847,1,960,540
848,1,960,540
849,1,960,540
850,1,960,540
851,1,960,540
852,1,960,540
853,1,960,540
854,1,960,540
855,1,960,540
856,1,960,540
857,1,960,540
858,1,960,540
859,1,960,540
860,1,960,540
861,1,960,540
862,1,960,540
863,1,960,540
864,1,960,540
865,1,960,540
866,1,960,540
867,1,960,540
868,1,960,540
869,1,960,540
870,1,960,540
871,1,960,540
872,1,960,540
873,1,960,540
874,1,960,540
875,1,960,540
876,1,960,540
877,1,960,540
878,1,960,540
879,1,960,540
880,1,960,540
881,1,960,540
882,1,960,540
883,1,960,540
884,1,960,540
885,1,960,540
886,1,960,540
887,1,960,540
888,1,960,540
889,1,960,540
890,1,960,540
891,1,960,540
892,1,960,540
893,1,960,540
894,1,960,540
895,1,960,540
896,1,960,540
897,1,960,540
898,1,960,540
899,1,960,540
900,1,960,540
901,1,960,540
902,1,960,540
903,1,960,540
904,1,960,540
905,1,960,540
906,1,960,540
907,1,960,540
908,1,960,540
909,1,960,540
910,1,960,540
911,1,960,540
912,1,960,540
913,1,960,540
914,1,960,540
915,1,960,540
916,1,960,540
917,1,960,540
918,1,960,540
919,1,960,540
920,1,960,540
921,1,960,540
922,1,960,540
923,1,960,540
924,1,960,540
925,1,960,540
926,1,960,540
927,1,960,540
928,1,960,540
929,1,960,540
930,1,960,540
931,1,960,540
932,1,960,540
933,1,960,540
934,1,960,540
935,1,960,540
936,1,960,540
937,1,960,540
938,1,960,540
939,1,960,540
940,1,960,540
941,1,960,540
942,1,960,540
943,1,960,540
944,1,960,540
945,1,960,540
946,1,960,540
947,1,960,540
948,1,960,540
949,1,960,540
950,1,960,540
951,1,960,540
952,1,960,540
953,1,960,540
954,1,960,540
955,1,960,540
956,1,960,540
957,1,960,540
958,1,960,540
959,1,960,540
960,1,960,540
961,1,960,540
962,1,960,540
963,1,960,540
964,1,960,540
965,1,960,540
966,1,960,540
967,1,960,540
968,1,960,540
969,1,960,540
970,1,960,540
971,1,960,540
972,1,960,540
973,1,960,540
974,1,960,540
975,1,960,540
976,1,960,540
977,1,960,540
978,1,960,540
979,1,960,540
980,1,960,540
981,1,960,540
982,1,960,540
983,1,960,540
984,1,960,540
985,1,960,540
986,1,960,540
987,1,960,540
988,1,960,540
989,1,960,540
990,1,960,540
991,1,960,540
992,1,960,540
993,1,960,540
994,1,960,540
995,1,960,540
996,1,960,540
997,1,960,540
998,1,960,540
